l_name,f_name,mi,suffix,dob,gender,email,phone,residence,state,city,zip,dodid,branch,status,designator,coc,nok_lname,nok_fname,nok_phone,nok_address,ets,basd,grade,SPN,username,password
Rios,Devan,I,,7/14/2000,m,nachbaur@msn.com,(768) 216-1696,7782 6th Ave. ,Massachusetts,San Diego,2474,5225672011,Army,AD,011n,1st cav div,Rios,Dashawn,(490) 248-9048,95 Lafayette Dr. ,11/14/2034,2/28/1993,d5,201,,
Arroyo,Vincent,y,,6/11/1971,m,singer@hotmail.com,(386) 793-2317,69 Sunnyslope Road ,Kentucky,St. Louis,28031,8733025755,Army,AD,98q,1st armored div,Arroyo,Trevon,(570) 538-4114,"Mooresville, NC 28115",8/7/2015,3/17/1993,d5,201,,
Oliver,Marcelo,d,,7/8/1973,m,library@gmail.com,(385) 914-9795,7449 N. Pacific Court,New Jersey,Plano,60053,1935045437,Army,Reserve,43d,10th mountain,Oliver,Lindsey,(538) 201-3547,327 Main Ave. ,3/5/2016,1/22/1994,e4,201,,
Clements,Cameron,s,,7/6/1974,m,noneme@yahoo.ca,(782) 861-5346,834 Rockledge St. ,California,Anaheim,29349,8348750139,Army,AD,22j,25th infrantry div,Clements,Cayden,(510) 823-1185,"Biloxi, MS 39532",9/27/2017,12/10/1995,e3,201,,
Rice,Belinda,d,,12/24/1978,m,jemarch@hotmail.com,(451) 785-2978,23 Marconi Street ,Kansas,San Francisco,6106,2429504829,Army,AD,37k,42nd inf div,Rice,Raegan,(422) 630-8995,649 Wrangler Rd. ,7/17/2018,3/22/1997,e6,201,,
Fernandez,Janiya,g,Jr,8/21/1987,f,carroll@gmail.com,(464) 385-4418,411 Coffee Circle ,Illinois,Denver,32720,6176091927,Army,AD,805,555th eng bde,Fernandez,Giancarlo,(771) 901-3719,"El Dorado, AR 71730",9/5/2018,4/9/1997,e8,201,,
Frank,Giuliana,b,,8/24/1987,f,gslondon@outlook.com,(453) 330-5248,99 Clark Road ,Massachusetts,Chandler,91316,4124636118,Army,NG,456i,17th field art,Frank,Hezekiah,(566) 619-1636,9849 Water Drive ,11/21/2018,12/21/1997,e9,201,,
Wolf,Jonas,h,,8/16/1996,m,ebassi@outlook.com,(206) 613-0801,295 Rock Creek Court ,Nebraska,Albuquerque,33010,8477146072,Army,NG,85i,20th special forces group,Wolf,Meadow,(625) 874-8383,"Fishers, IN 46037",3/8/2020,3/24/1998,e9,201,,
Rubio,Lacey,k,,2/12/1997,m,pfitza@verizon.net,(900) 937-5210,9761 Shirley St. ,South Carolina,Montgomery,60091,2549365229,Army,AD,54d,2nd cav reg,Rubio,Reuben,(453) 734-4446,45 Griffin Drive ,5/3/2021,10/2/1999,e1,201,,
Lynn,Elle,e,,4/22/1997,f,jeteve@yahoo.com,(722) 911-5755,51 Elmwood St.,Florida,Oakland,98512,5669238265,Army,AD,156s,75th ranger reg,Lynn,Nataly,(981) 985-0117,"Cary, NC 27511",7/11/2023,10/24/1999,e4,201,,
Hogan,Virginia,w,,6/15/2001,f,meder@aol.com,(262) 965-3213,9866 Highland Drive ,California,Garland,48101,1024825595,Army,AD,12n,160th special operations,Hogan,Wesley,(391) 888-0269,25 Alderwood Lane ,6/24/2024,11/16/2001,e5,201,,
Duffy,Kash,w,II ,10/17/1967,m,cremonini@optonline.net,(998) 422-0371,432 Valley View Avenue ,South Carolina,Tampa,18940,8920789324,Army,NG,112,947th mp det,Duffy,Jasmine,(393) 389-6768,"Clemmons, NC 27012",1/10/2025,11/17/2002,e5,201,,
Berry,Alessandro,jk,,4/22/1968,m,jdhedden@yahoo.com,(578) 541-9828,262 North Essex Street ,Georgia,St. Petersburg,58501,1295540858,Army,AD,18r,1st inf div,Berry,Aleah,(319) 467-5761,755 Bridle Dr. ,1/23/2025,5/8/2003,e4,201,,
Mccall,Nick,n,,10/31/1973,m,bdbrown@verizon.net,(722) 891-4353,328 South Durham St. ,North Carolina,Virginia Beach,55912,766415498,Army,AD,56g,4th inf div,Mccall,Nicole,(377) 491-5131,"Pelham, AL 35124",5/25/2026,4/20/2005,d3,201,,
Spencer,Carissa,x,,1/6/1974,f,jadavis@aol.com,(271) 970-5533,954 Pacific Street ,Massachusetts,Atlanta,11725,8349224819,Army,AD,74hj,6 sf,Spencer,Adan,(368) 257-6213,7708 Heritage Court ,9/27/2026,10/7/2005,e6,201,,
Nixon,Urijah,z,,12/22/1974,m,teverett@hotmail.com,(800) 519-2154,441 Manor Road ,Nebraska,Dallas,65102,3278271661,Army,AD,35a,1st armored div,Nixon,Donte,(625) 932-3921,"Chaska, MN 55318",7/26/2029,9/18/2008,e8,201,,
Ferniza,Denise,e,,1/16/1981,f,denise.ferniza@gmail.com,(955) 401-8757,892 Pheasant St. ,Ohio,Glendale,85635,1234567890,Army,AD,35t,82nd abn,Ferniza,Rihanna,(957) 215-5742,763 Wellington Lane ,1/25/2020,7/4/2011,e9,201,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,
